Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
Realme X2 Pro,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,64/128/256 GB,No,6/8/12 GB,Android 9.0 "Pie",ColorOS 6.1,161 x 75.7 x 8.7 mm,199g,4000 mAh,USB-C 50W,6.5" 2400x1080 AMOLED,Quad 64 MP + 13 MP + 8 MP + 2 MP (rear) 16 MP (front),Under screen,Yes
Nokia 9 PureView,Snapdragon 845,Octa-core2.8 GHz (4x2.8 GHz Kryo 385 Gold + 4x1.7 GHz Kryo 385 Silver),Adreno 630,128 GB,microSD up to 512 GB,6 GB,Android 9.0 "Pie"  Android One,-,155 x 7 x 8 mm,172g,3320 mAh,USB-C 18W Wireless 10W,6.0" 2880x1440 P-OLED,Penta 5x 12 MP + ToF (rear camera) 20 MP (front camera),Under screen,Yes
Nokia 7.2,Snapdragon 660,Octa-core2.2 GHz (4x2.2 GHz Kryo 260 Gold + 4x1.8 GHz Kryo 260 Silver),Adreno 512,64 or 128 GB,microSD up to 512 GB,4/6 GB,Android 9.0 "Pie"  Android One,-,159.9 x 71.2 x 8.8 mm,160g,3500 mAh,USB-C 10W,6.3" 2280x1080 IPS LCD,Triple 48 MP + 8 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Nokia 6.2,Snapdragon 636,Octa-core1.8 GHz Kryo 260,Adreno 509,32/64/128 GB,microSD up to 512 GB,3/4 GB,Android 9.0 "Pie"  Android One,-,159.9 x 75.1 x 8.3 mm,180g,3500 mAh,USB-C 10W,6.3" 2280x1080 IPS LCD,Triple 16 MP + 8 MP + 5 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Samsung Galaxy M10,Exynos 7870,Octa-core1.6 GHz,Mali-T830 MP1,16 or 32 GB,microSD up to 512 GB,2/3 GB,Android 8.1 "Oreo",Samsung Experience 9.5,155.6 x 75.6 x 7.7 mm,163g,3400 mAh,MicroUSB,6.2" 1520x720 PLS TFT LCD,Dual 13 MP + 5 MP (rear camera) 5 MP (front camera),No,Yes
Samsung Galaxy M20,Exynos 7904,Octa-core1.8 GHz,Mali-G71 MP2,32 or 64 GB,microSD up to 512 GB,3/4 GB,Android 8.1 "Oreo",Samsung Experience 9.5,156.4 x 74.5 x 8.8 mm,186g,5000 mAh,USB-C 15W,6.3" 2340x1080 PLS TFT LCD,Dual 13 MP + 5 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Samsung Galaxy M30/A40s,Exynos 7904,Octa-core1.8 GHz,Mali-G71 MP2,64 or 128 GB,microSD up to 512 GB,4/6 GB,Android 8.1 "Oreo",Samsung Experience 9.5,159 x 75.1 x 8.5 mm,174g,5000 mAh,USB-C 15W,6.4" 2340x1080 AMOLED,Triple 13 MP + 2x 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Samsung Galaxy S10e,Snapdragon 855Exynos 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9820 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.3 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,128 or 256 GB,microSD up to 512 GB,6/8 GB,Android 9.0 "Pie",One UI,142.2 x 69.9 x 7.9 mm,150g,3100 mAh,USB-C 15W  Wireless 15W,5.8" 2280x1080 AMOLED,Dual 16 MP + 12 MP (rear camera) 10 MP (front camera),Side-mounted,Yes
Samsung Galaxy S10,Snapdragon 855Exynos 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9820 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.3 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,128 or 512 GB,microSD up to 512 GB,8 GB,Android 9.0 "Pie",One UI,149.9 x 70.4 x 7.8 mm,157g,3400 mAh,USB-C 15W  Wireless 15W,6.1" 3040x1440 AMOLED,Triple 12 MP + 12 MP + 16 MP (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy S10+,Snapdragon 855Exynos 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9820 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.3 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,128/512/1024 GB,microSD up to 512 GB,8/12 GB,Android 9.0 "Pie",One UI,157.6 x 74.1 x 7.8 mm,175g  198g (ceramic),4100 mAh,USB-C 15W  Wireless 15W,6.4" 3040x1440 AMOLED,Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 10 MP + 8 MP (front camera),Under screen,Yes
